,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
325,honolulu,100,,1650594866,71,21.3069,-157.8583,78.62,20.71
326,bratsk,100,,1650595015,73,56.1325,101.6142,39.69,7.45
327,port shepstone,28,,1650595015,72,-30.7414,30.455,68.68,7.31
328,nizhneudinsk,100,,1650595011,94,54.9076,99.0276,37.65,3.4
329,arman,56,,1650595016,76,59.7,150.1667,29.43,5.06
330,northam,66,,1650595016,74,51.0333,-4.2167,49.6,17.83
331,souillac,20,,1650594526,83,-20.5167,57.5167,75.58,6.91
332,constitucion,100,,1650594601,86,-35.3333,-72.4167,52.12,10.11
333,san rafael,100,,1650595016,38,-34.6177,-68.3301,61.12,3.11
335,maceio,75,,1650594832,88,-9.6658,-35.7353,76.44,2.3
336,liwale,97,,1650595017,91,-9.7667,37.9333,67.08,3.94
338,malanje,72,,1650595017,96,-9.5402,16.341,62.46,1.74
339,ukiah,0,,1650595018,58,39.1502,-123.2078,53.49,5.75
340,tsumeb,0,,1650595018,58,-19.2333,17.7167,57.2,6.85
341,vilhena,100,,1650594960,97,-12.7406,-60.1458,68.97,2.71
342,kysyl-syr,100,,1650595018,92,63.8986,122.7617,29.21,1.01
343,tezu,99,,1650595019,63,27.9167,96.1667,76.57,3.98
344,astoria,83,,1650595019,70,46.1879,-123.8313,50.94,5.99
345,santa cruz,66,,1650595019,88,-17.8,-63.1667,76.46,8.05
346,jiwani,1,,1650595080,74,25.05,61.7417,80.02,2.93
347,mossendjo,99,,1650595080,99,-2.9506,12.7261,69.03,1.81
348,cortez,0,,1650595080,16,37.3489,-108.5859,68.76,11.5
350,grindavik,75,,1650595081,87,63.8424,-22.4338,46.87,13.8
351,jaisalmer,25,,1650595081,18,26.9147,70.9181,85.73,4.88
352,ancud,99,,1650594977,85,-41.8697,-73.8203,50.23,2.26
353,enid,0,,1650594949,66,36.3956,-97.8784,77.16,26.46
354,hambantota,40,,1650595082,100,6.1241,81.1185,80.94,2.3
355,oranjemund,45,,1650595082,95,-28.55,16.4333,56.37,8.68
356,camana,97,,1650595082,84,-16.6228,-72.7111,67.75,7.27
357,karakol,100,,1650595083,60,42.4907,78.3936,52.29,2.59
358,lipari,94,,1650595083,86,38.4674,14.954,60.33,0.72
360,vagay,100,,1650595084,56,57.9375,69.0217,23.85,13.22
361,villazon,4,,1650595084,14,-22.0866,-65.5942,50.18,11.16
362,darnah,1,,1650595084,53,32.767,22.6367,62.31,17.09
363,challans,99,,1650595085,85,46.8436,-1.8749,53.8,6.53
364,lakhimpur,51,,1650595085,22,27.95,80.7667,93.15,6.04
366,benjamin constant,87,,1650595085,97,-4.3831,-70.0311,75.33,0.56
367,road town,37,,1650595086,75,18.4167,-64.6167,75.29,20.71
368,kaeo,28,,1650595086,76,-35.1,173.7833,67.05,14.12
369,carutapera,99,,1650595087,93,-1.195,-46.02,76.06,4.29
370,pemberton,100,,1650595087,95,50.3164,-122.8027,43.27,3.87
371,barentu,70,,1650595087,44,15.1139,37.5928,78.4,3.27
372,stromness,6,,1650595088,91,58.965,-3.296,46.36,1.01
374,ciudad bolivar,95,,1650595088,66,8.1222,-63.5497,81.09,13.22
376,westerland,13,,1650595088,71,54.9079,8.3033,48.22,12.66
378,roma,20,,1650595089,84,43.2128,-75.4557,51.96,3
379,san policarpo,61,,1650595089,77,12.1791,125.5072,83.32,11.63
380,bukan,0,,1650595090,40,36.521,46.2089,49.26,3.91
381,biloela,100,,1650595090,74,-24.4167,150.5,70.0,11.45
382,sesheke,97,,1650595090,91,-17.4759,24.2968,61.39,4.18
383,srednekolymsk,100,,1650595090,82,67.45,153.6833,25.77,6.55
